loai_cay,N,ket_qua,thoi_gian_treedp_s,thoi_gian_baseline_s
line,1,MATCH,.007952071,.003909835
line,2,MATCH,.004243335,.004895029
line,3,MATCH,.004048356,.006073194
line,5,MATCH,.007122928,.004265212
line,8,MATCH,.003828981,.005525817
line,10,MATCH,.007872067,.003739971
line,15,MATCH,.003739944,.004429222
line,20,MATCH,.003821123,.005306417
line,30,MATCH,.005150041,.003961199
line,50,MATCH,.004014351,.007246341
line,75,MATCH,.006662039,.003561029
line,100,MATCH,.003750310,.007542543
line,150,MATCH,.007277303,.003781568
line,200,MATCH,.004054509,.005531082
line,300,MATCH,.005314697,.006149750
line,500,MATCH,.005940635,.006026016
line,750,MATCH,.004078232,.009985366
line,1000,MATCH,.004108641,.017024509
line,1500,MATCH,.007001232,.031286156
line,2000,MATCH,.007981849,.051545256
line,3000,MATCH,.005526864,.117528576
line,4000,MATCH,.005908703,.209843573
line,6000,MATCH,.009778640,.514883681
line,8000,MATCH,.009277504,1.007218917
line,12000,MATCH,.012481583,3.321899242
star,1,MATCH,.004481889,.003823023
star,2,MATCH,.006406823,.004568570
star,3,MATCH,.006258844,.003556476
star,5,MATCH,.003927938,.006784031
star,8,MATCH,.007436495,.003502199
star,10,MATCH,.003664658,.005319506
star,15,MATCH,.006440720,.003556049
star,20,MATCH,.003890441,.005924949
star,30,MATCH,.005444123,.003650015
star,50,MATCH,.003702699,.005553305
star,75,MATCH,.005601149,.003698798
star,100,MATCH,.003822953,.004496856
star,150,MATCH,.004347710,.005652962
star,200,MATCH,.005572508,.003944076
star,300,MATCH,.004096863,.007928836
star,500,MATCH,.007511483,.004638075
star,750,MATCH,.004252174,.006883653
star,1000,MATCH,.004381200,.009872280
star,1500,MATCH,.004581608,.015044395
star,2000,MATCH,.004720661,.022428091
star,3000,MATCH,.005193772,.045585298
star,4000,MATCH,.005353955,.071159572
star,6000,MATCH,.009479761,.145720084
star,8000,MATCH,.009127752,.247149636
star,12000,MATCH,.012301777,.579056857
balanced,1,MATCH,.007428777,.005182753
balanced,2,MATCH,.006566001,.005605071
balanced,3,MATCH,.010122344,.007532589
balanced,5,MATCH,.008894315,.007070398
balanced,8,MATCH,.009269630,.007218095
balanced,10,MATCH,.007448905,.006985231
balanced,15,MATCH,.007119993,.005685792
balanced,20,MATCH,.007743273,.009613167
balanced,30,MATCH,.010182694,.007187374
balanced,50,MATCH,.012071860,.007718560
balanced,75,MATCH,.005635716,.007632264
balanced,100,MATCH,.011459988,.013222112
balanced,150,MATCH,.012536997,.011795114
balanced,200,MATCH,.011163716,.010165271
balanced,300,MATCH,.005594269,.013706361
balanced,500,MATCH,.005597282,.020997609
balanced,750,MATCH,.017721277,.014988847
balanced,1000,MATCH,.008249161,.013692626
balanced,1500,MATCH,.008064516,.020980472
balanced,2000,MATCH,.010506910,.036708316
balanced,3000,MATCH,.007784530,.067235171
balanced,4000,MATCH,.010498723,.115605061
balanced,6000,MATCH,.011517007,.289113899
balanced,8000,MATCH,.013661924,.586120502
balanced,12000,MATCH,.016061599,1.683180356
random,1,MATCH,.005285405,.003568698
random,2,MATCH,.004657069,.005341013
random,3,MATCH,.003888361,.005987159
random,5,MATCH,.007240071,.003676061
random,8,MATCH,.004402493,.005795622
random,10,MATCH,.003884341,.006266453
random,15,MATCH,.007463874,.008469846
random,20,MATCH,.006984124,.009618897
random,30,MATCH,.006200227,.006010355
random,50,MATCH,.010750692,.008737943
random,75,MATCH,.007739480,.005182207
random,100,MATCH,.007830410,.006500920
random,150,MATCH,.009907699,.009540391
random,200,MATCH,.010241375,.005638165
random,300,MATCH,.005027805,.004376427
random,500,MATCH,.005573880,.011004650
random,750,MATCH,.005674091,.008456350
random,1000,MATCH,.005365854,.012952393
random,1500,MATCH,.006816256,.021537683
random,2000,MATCH,.006427987,.041425472
random,3000,MATCH,.006906129,.104282220
random,4000,MATCH,.007562626,.228926053
random,6000,MATCH,.009828783,.570856937
random,8000,MATCH,.010254144,1.278922673
random,12000,MATCH,.011802529,2.989295587
